# Electric Meter Monitor
# Date,2026-04-14 09:02:49
# SampleInterval,400
# Rows,123
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi N,%,FF00FAAA,3
# Signal,11,THDu 1N,%,FF6EB9FF,3
# Signal,12,THDu 2N,%,FF8CD2FF,3
# Signal,13,Current L1,A,FF00C88C,0
# Signal,14,Current L2,A,FF00AA78,0
# Signal,15,Current N,A,FF006E50,0
# Signal,16,Voltage 1N,V,FF82C8FF,1
# Signal,17,Voltage 2N,V,FF96D7FF,1
# Signal,18,P Active L1,W,FFFFC850,2
# Signal,19,P Active L2,W,FFEBB43C,2
# Signal,20,Q React. L1,VAR,FFFF8250,2
# Signal,21,Q React. L2,VAR,FFEB6E3C,2
# Signal,22,S Apprt. L1,VA,FFDC96FF,2
# Signal,23,S Apprt. L2,VA,FFC882EB,2
# Signal,24,PF L1,PF,FFFF8282,2
# Signal,25,PF L2,PF,FFEB6E6E,2
# Signal,26,Angle U1-2,°,FFC8FFC8,4
# Signal,27,Angle U2-3,°,FFB4EBB4,4
# Signal,28,Angle U3-1,°,FFA0D7A0,4
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi N (%),THDu 1N (%),THDu 2N (%),Current L1 (A),Current L2 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),P Active L1 (W),P Active L2 (W),Q React. L1 (VAR),Q React. L2 (VAR),S Apprt. L1 (VA),S Apprt. L2 (VA),PF L1 (PF),PF L2 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°)
20.5585122,236.26,0,0,0,0,1,49.97,-1,0,2,2.3,1.9,1.8,0,0,0,236.09,236.6,0,0,0,0,0,0,1,1,120,120,120
20.968631,236.31,0,0,0,0,1,49.97,-1,0.4,0.7,2.3,1.9,1.8,0,0,0,236.24,236.62,0,0,0,0,0,0,1,1,120,120,119
21.377014,236.31,0,0,0,0,1,49.97,-1,0.4,0.7,5.1,1.9,1.8,0,0,0,236.2,236.62,0,0,0,0,0,0,1,1,120,120,120
21.7722589,236.31,0,0,0,0,1,49.97,-1,0.4,0.7,5.1,2,1.8,0,0,0,236.2,236.62,0,0,0,0,0,0,1,1,120,120,120
22.1959237,236.35,0,0,0,0,1,49.97,-1,0,0,17.5,2,1.8,0,0,0,236.16,236.73,0,0,0,0,0,0,1,1,120,119,120
22.6120847,236.4,3.314,527,1186,2351,0.2242,49.97,-1,0,0,17.5,2.1,3.3,0,4.357,6.481,236.35,236.77,0,263,0,461,0,1010,1,0.274,123,120,117
22.999992,236.37,10.29,681,3208,7294,0.0933,49.97,-1,0.7,58.5,49.7,2.1,3.3,0,16.314,21.313,236.4,236.82,0,351,0,1625,0,3845,1,0.0935,124,119,117
23.4018248,236.29,20.031,1076,6437,14194,0.0758,49.98,-1,0.7,58.5,49.7,3.1,3.3,0,31.311,41.894,236.6,236.57,0,571,0,3339,0,7404,1,0.0778,124,122,115
23.8165294,236.31,30.523,1823,10524,21621,0.0843,49.98,-1,0.4,58.5,49.7,3.1,4.6,0,46.893,64.178,236.75,237.01,0,966,0,5273,0,11096,1,0.0874,124,122,114
24.2378799,236.04,39.111,2878,14260,27663,0.104,49.98,-1,0.4,154.9,252.8,3.1,4.6,0,60.369,82.214,236.79,236.55,0,1538,0,7382,0,14260,1,0.108,123,122,115
24.6242706,236.04,39.111,2878,14260,27663,0.104,49.98,-1,0.4,154.9,252.8,3.7,4.8,0,60.369,82.214,236.79,236.55,0,1538,0,7382,0,14260,1,0.108,123,122,115
25.0427056,236.07,43.725,3889,16281,30915,0.1257,49.98,-1,0.6,142.5,235.2,3.7,4.8,0,65.423,92.028,236.93,236.71,0,1977,0,7910,0,15468,1,0.129,123,122,115
25.4313903,235.94,44.366,4658,16853,31311,0.1487,49.98,-1,0.6,142.5,235.2,3.3,6,0,67.236,93.072,237.15,235.78,0,2438,0,8657,0,15842,1,0.154,122,122,116
25.8404221,236.07,42.279,4965,16369,29882,0.1661,49.98,-1,0,147.3,235.2,3.3,6,0,62.622,89.007,237.01,237.3,0,2460,0,7976,0,14853,1,0.1663,122,121,117
26.2471569,236.09,39.44,4965,15117,27883,0.178,49.98,-1,0,147.3,220.2,3.3,6,0,57.586,82.818,236.86,237.01,0,2438,0,7185,0,13645,1,0.1788,122,120,118
26.6511129,236.05,36.273,4790,13930,25642,0.1868,49.98,-1,0,147.3,220.2,3.5,3.7,0,52.935,76.19,236.71,236.9,0,2329,0,6613,0,12524,1,0.1865,122,121,117
27.0521207,236.05,36.273,4790,13930,25642,0.1868,49.98,-1,0,141.4,229.1,3.5,3.7,0,52.935,76.19,236.71,236.9,0,2329,0,6613,0,12524,1,0.1865,122,121,117
27.4755847,236.02,33.288,4548,12766,23510,0.1934,49.98,-1,0,141.4,229.1,3.1,3.5,0,49.731,69.616,236.9,236.22,0,2285,0,6328,0,11733,1,0.1958,122,120,118
27.8951113,235.94,31.054,4328,11909,21950,0.1971,49.98,-1,0,139.8,226.3,3.1,3.5,0,45.538,65.148,236.6,236.71,0,2109,0,5690,0,10766,1,0.1961,121,121,118
28.2694175,236.13,28.765,4020,10876,20346,0.1976,49.98,-1,0,139.8,226.3,2.8,3.5,0,43.194,60.076,236.9,236.2,0,2043,0,5427,0,10195,1,0.2018,122,120,118
28.6760232,236.02,27.52,3933,10524,19467,0.202,49.99,-1,0,139.2,226.3,2.8,3.5,0,40.612,57.641,236.62,236.82,0,1933,0,5075,0,9602,1,0.2016,121,121,118
29.0988474,236.09,25.836,3669,9755,18281,0.2007,49.99,-1,0,139.2,226,2.8,3.5,0,38.763,53.833,236.82,236.09,0,1867,0,4833,0,9140,1,0.2052,121,120,118
29.4850466,236.09,25.836,3669,9755,18281,0.2007,49.99,-1,0,139.2,226,2.5,3.7,0,38.763,53.833,236.82,236.09,0,1867,0,4833,0,9140,1,0.2052,121,120,118
29.9035115,235.93,25.103,3625,9602,17753,0.2042,49.99,-1,0,138.1,224,2.5,3.7,0,37.28,52.514,236.49,236.62,0,1801,0,4680,0,8811,1,0.205,121,121,118
30.3233811,236.04,23.803,3405,8986,16831,0.2023,49.99,-1,0,138.1,224,2.4,3.6,0,35.577,49.584,236.71,236.15,0,1713,0,4416,0,8393,1,0.2053,121,120,118
30.7200494,235.89,23.547,3427,8986,16655,0.2058,49.99,-1,0,138.1,226.8,2.4,3.6,0,35.028,49.255,236.42,236.53,0,1691,0,4394,0,8283,1,0.2065,121,121,118
31.1224013,236.04,22.503,3229,8481,15908,0.203,49.99,-1,0,138.1,226.8,2.4,3.6,0,33.544,46.783,236.73,236.13,0,1625,0,4152,0,7910,1,0.2064,121,120,119
31.5275338,235.78,22.448,3273,8547,15864,0.2063,49.99,-1,0.4,137.3,226.8,2.4,3.6,0,33.471,46.893,236.29,236.38,0,1647,0,4196,0,7910,1,0.2086,121,121,118
31.9440034,235.71,21.624,3120,8129,15270,0.2043,49.99,-1,0.4,137.3,226,2.4,3.6,0,32.153,44.952,236.33,235.93,0,1560,0,3955,0,7580,1,0.2075,121,120,118
32.3458925,235.71,21.624,3120,8129,15270,0.2043,49.98,-1,0.4,137.3,226,2.4,4,0,32.153,44.952,236.33,235.93,0,1560,0,3955,0,7580,1,0.2075,121,120,118
32.7568389,235.54,21.624,3164,8239,15270,0.2071,49.98,-1,0,146.1,223.5,2.4,4,0,32.592,45.043,236.11,235.91,0,1604,0,4108,0,7668,1,0.2111,121,121,118
33.1756177,235.85,21.24,3098,8020,15007,0.2064,49.98,-1,0,146.1,223.5,2.2,2.9,0,31.274,44.256,236.37,236.27,0,1538,0,3845,0,7382,1,0.2087,121,121,118
33.5589382,235.76,23.144,3647,8942,16347,0.2231,49.98,-1,0,136.2,221.2,2.2,2.9,0,33.782,48.321,236.55,236.35,0,1757,0,4240,0,7976,1,0.2213,121,120,118
33.9688912,235.93,24.005,3977,9382,16962,0.2344,49.98,-1,0,136.2,221.2,3.3,2.9,0,36.73,50.134,236.51,236.51,0,2065,0,4768,0,8679,1,0.2395,121,121,118
34.3767105,235.94,24.078,4064,9338,17006,0.239,49.98,-1,0.9,135.5,221.2,3.3,2.1,0,35.687,50.061,236.77,236.11,0,2021,0,4548,0,8415,1,0.2418,122,120,119
34.8025698,235.74,24.627,4328,9689,17402,0.2487,49.98,-1,0.9,135.5,202.4,3.3,2.1,0,36.804,51.47,236.42,236.37,0,2175,0,4768,0,8679,1,0.2503,121,121,118
35.1886605,235.74,24.627,4328,9689,17402,0.2487,49.98,-1,0.9,135.5,202.4,3,2.2,0,36.804,51.47,236.42,236.37,0,2175,0,4768,0,8679,1,0.2503,121,121,118
35.6018476,235.69,24.096,4240,9404,17006,0.2493,49.98,-1,1.5,131.9,206.4,3,2.2,0,35.778,50.134,236.46,235.85,0,2109,0,4592,0,8437,1,0.2514,121,120,119
35.9962354,235.54,24.133,4328,9514,17028,0.2541,49.98,-1,1.5,131.9,206.4,2.6,2.5,0,36.273,50.225,236.38,235.76,0,2197,0,4746,0,8547,1,0.2579,121,120,119
36.4036664,235.65,23.693,4218,9294,16721,0.2522,49.98,-1,0.4,128.2,206.4,2.6,2.5,0,34.79,49.53,236.31,236.24,0,2065,0,4460,0,8217,1,0.2514,121,121,118
36.8090892,235.62,23.455,4218,9162,16567,0.2546,49.98,-1,0.4,128.2,214.9,2.6,2.5,0,36.383,48.98,236.31,235.3,0,2241,0,4768,0,8547,1,0.264,121,121,118
37.2125923,235.6,23.382,4218,9140,16501,0.2556,49.98,-1,0,128.2,214.9,2.1,3.5,0,36.199,48.504,236.42,235.08,0,2263,0,4746,0,8503,1,0.2666,121,120,118
37.6159208,235.6,23.382,4218,9140,16501,0.2556,49.98,-1,0,126.3,210.5,2.1,3.5,0,36.199,48.504,236.42,235.08,0,2263,0,4746,0,8503,1,0.2666,121,120,118
38.0363897,235.38,23.034,4174,9052,16215,0.2574,49.98,-1,0,126.3,210.5,2.6,7.1,0,35.211,47.241,236.37,234.88,0,2197,0,4658,0,8261,1,0.2671,121,120,118
38.4533944,235.49,22.155,3911,8635,15600,0.2507,49.98,-1,0.6,138.6,209,2.6,7.1,0,32.574,45.977,236.9,234.86,0,1933,0,4196,0,7646,1,0.2539,122,120,119
38.8385978,235.36,22.192,3911,8613,15666,0.2496,49.98,-1,0.6,138.6,209,2.5,2.4,0,32.592,46.343,235.56,236.09,0,1911,0,4108,0,7690,1,0.2498,121,120,119
39.2533765,235.12,22.723,4086,8898,15996,0.2554,49.98,-1,0.4,130.8,209,2.5,2.4,0,33.233,47.387,235.69,235.8,0,1977,0,4240,0,7822,1,0.2549,121,120,119
39.6558823,234.96,22.54,4086,8876,15864,0.2576,49.98,-1,0.4,130.8,201.2,2.5,2.4,0,33.929,47.039,235.6,235.62,0,2065,0,4416,0,7976,1,0.2596,121,121,118
40.0814137,235.03,22.137,3977,8635,15578,0.2552,49.98,-1,1.5,130.8,201.2,2.1,3.8,0,33.489,45.831,236.09,234.52,0,2043,0,4350,0,7844,1,0.2616,122,120,119
